Altitude (km) 5 eV LSA,Mean probability 5 eV LSA,5 eV LSA 1,5 eV LSA 2,5 eV LSA 3,5 eV LSA 4,,Altitude (km) 0.2 eV LSA,Mean probability 0.2 eV LSA,0.2 eV LSA 1,0.2 eV LSA 2,0.2 eV LSA 3,0.2 eV LSA 4
80,0,0,0,0,0,,80,0,0,0,0,0
100,0,0,0,0,0,,100,0,0,0,0,0
120,0,0,0,0,0,,120,0,0,0,0,0
130,0,0,0,0,0,,130,0,0,0,0,0
135,0.0095,0.011,0.006,0.009,0.012,,135,0,0,0,0,0
137.5,0.03925,0.038,0.037,0.044,0.038,,137.5,0,0,0,0,0
140,0.105,0.112,0.105,0.097,0.106,,140,0.00025,0,0,0.001,0
145,0.3105,0.308,0.312,0.288,0.334,,145,0.00425,0.003,0.004,0.006,0.004
150,0.47925,0.462,0.49,0.488,0.477,,150,0.04,0.043,0.04,0.039,0.038
155,0.611,0.588,0.632,0.623,0.601,,155,0.1155,0.119,0.118,0.107,0.118
160,0.6895,0.68,0.694,0.696,0.688,,160,0.21575,0.203,0.23,0.22,0.21
165,0.75775,0.749,0.749,0.777,0.756,,165,0.33325,0.335,0.299,0.367,0.332
170,0.79225,0.789,0.772,0.812,0.796,,170,0.442,0.451,0.438,0.445,0.434
175,0.83025,0.844,0.844,0.824,0.809,,175,0.50325,0.515,0.513,0.488,0.497
180,0.838,0.796,0.849,0.851,0.856,,180,0.578,0.572,0.584,0.59,0.566
200,0.8835,0.887,0.863,0.879,0.905,,200,0.715,0.734,0.72,0.691,0.707
220,0.88875,0.886,0.892,0.892,0.885,,220,0.76575,0.759,0.778,0.766,0.76
240,0.9035,0.887,0.918,0.906,0.903,,240,0.7755,0.76,0.783,0.782,0.777
260,0.906,0.905,0.908,0.901,0.91,,260,0.8065,0.806,0.802,0.817,0.801
280,0.913,0.919,0.91,0.899,0.924,,280,0.82,0.808,0.82,0.835,0.817
300,0.9125,0.907,0.916,0.907,0.92,,300,0.829,0.819,0.834,0.834,0.834
320,0.92175,0.923,0.919,0.912,0.933,,320,0.8265,0.823,0.835,0.828,0.82
340,0.926,0.911,0.931,0.927,0.935,,340,0.8515,0.865,0.846,0.85,0.845
360,0.9235,0.931,0.923,0.911,0.929,,360,0.83875,0.842,0.83,0.835,0.848
380,0.924,0.926,0.916,0.927,0.927,,380,0.83975,0.827,0.843,0.853,0.836
400,0.9205,0.922,0.93,0.931,0.899,,400,0.852,0.851,0.853,0.852,0.849
